"idhous" "sex" "birthyr" "nat_1_02" "plingu02" "p02r01" "p02r04" "cspfaj" "cspmoj" "wp00tbgp" "wp00tbgs" "idpers"
"1176" 67291 "woman" 1929 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "unqualified non-manual and manual workers" "qualified non-manual professions" 1111.35717773438 0.986311912536621 "1176"
"1270" 72271 "man" 1955 "Switzerland" "german" "Roman Catholic" "about once a month" "academic professions and senior management" NA 661.639282226562 0.587194383144379 "1270"
"111" 9001 "man" 1957 "Switzerland" "french" NA NA "liberal professions" NA 1639.32421875 1.45487439632416 "111"
"1152" 66141 "man" 1954 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 1220.57568359375 1.0832417011261 "1152"
"751" 42961 "man" 1939 "Switzerland" "german" NA NA "qualified non-manual professions" NA 1059.79272460938 0.940549314022064 "751"
"1660" 95501 "woman" 1942 "Switzerland" "italian" "Roman Catholic" "once a week" "other self-employed" NA 1276.60986328125 1.1329710483551 "1660"
"749" 42811 "woman" 1954 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" "other self-employed" 648.653198242188 0.575669467449188 "749"
"264" 16781 "man" 1950 "Switzerland" "german" "no denomination or religion" "never" NA NA 662.065368652344 0.587572515010834 "264"
"953" NA "woman" 1955 NA NA NA NA "other self-employed" NA 696.536743164062 0.61816531419754 "953"
"2348" 134841 "woman" 1931 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 1099.66784667969 0.975937843322754 "2348"
"1350" 77071 "man" 1947 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "academic professions and senior management" NA 893.457580566406 0.792929470539093 "1350"
"2114" 119801 "woman" 1951 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "top management" NA 609.424682617188 0.540854752063751 "2114"
"1857" 105551 "man" 1926 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "top management" NA 921.400939941406 0.817728757858276 "1857"
"2311" 132121 "man" 1957 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 1005.26867675781 0.892160058021545 "2311"
"3" 2871 "woman" 1919 "France and territories" "french" "no denomination or religion" "religious celebrations and family events" "liberal professions" NA 2944.70727539062 2.61338114738464 "3"
"2212" 124971 "woman" 1939 "Switzerland" "french" "no denomination or religion" "religious celebrations and family events" NA "other self-employed" 1075.74365234375 0.954705417156219 "2212"
"1488" 84891 "man" 1955 "Switzerland" "german" "Roman Catholic" "a few times a year" "other self-employed" NA 911.637329101562 0.809063732624054 "1488"
"1981" NA "woman" 1936 NA NA NA NA "unqualified non-manual and manual workers" NA 1615.98010253906 1.43415689468384 "1981"
"833" 47071 "woman" 1922 "Switzerland" "german" "Protestant or Reformed Church" "no answer" "other self-employed" NA 1542.02368164062 1.36852169036865 "833"
"803" 45581 "woman" 1955 "Switzerland" "italian" "Protestant or Reformed Church" "a few times a year" "other self-employed" NA 673.100036621094 0.59736567735672 "803"
"2294" 131091 "woman" 1925 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" NA NA 1044.09411621094 0.926616966724396 "2294"
"1191" 67861 "woman" 1953 "Switzerland" NA NA NA NA NA 1815.08898925781 1.61086285114288 "1191"
"1598" 91441 "man" 1948 "Switzerland" "german" "Roman Catholic" "every two weeks" "academic professions and senior management" NA 791.785095214844 0.702696740627289 "1598"
"1701" NA "woman" 1944 NA NA NA NA "other self-employed" "other self-employed" 1041.12670898438 0.923983514308929 "1701"
"438" 25401 "man" 1950 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "academic professions and senior management" NA 721.12158203125 0.639984011650085 "438"
"930" 53261 "woman" 1945 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" "qualified non-manual professions" NA 824.068969726562 0.731348156929016 "930"
"823" 46671 "woman" 1952 "Switzerland" "italian" NA NA "unqualified non-manual and manual workers" NA 0 0 "823"
"2002" NA "woman" 1933 NA NA NA NA "other self-employed" "other self-employed" 1256.21862792969 1.11487412452698 "2002"
"2325" 133071 "man" 1935 "Austria" "german" NA NA NA NA 1710.69482421875 1.51821458339691 "2325"
"479" 27181 "man" 1932 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "qualified manual professions" "other self-employed" 1081.14880371094 0.959502458572388 "479"
"837" 47371 "woman" 1919 "Switzerland" "french" "Protestant or Reformed Church" "once a week" "academic professions and senior management" NA 968.6865234375 0.859693944454193 "837"
"1842" 105171 "man" 1920 "France and territories" "french" "no denomination or religion" "never" "top management" NA 2039.03857421875 1.80961441993713 "1842"
"2040" 115451 "man" 1948 "Switzerland" "french" "Protestant or Reformed Church" "a few times a year" "liberal professions" "other self-employed" 638.912048339844 0.567024350166321 "2040"
"1284" 73191 "man" 1952 "Switzerland" "german" "Roman Catholic" "every two weeks" NA NA 891.748718261719 0.791412889957428 "1284"
"2405" 138271 "woman" 1949 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" "other self-employed" 801.230407714844 0.711079359054565 "2405"
"2036" 115201 "woman" 1950 "Itally" "french" "Roman Catholic" "only for family ceremonies" NA "other self-employed" 3683.4482421875 3.26900219917297 "2036"
"2400" 137911 "woman" 1937 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "top management" NA 1130.39050292969 1.00320363044739 "2400"
"2435" 140311 "woman" 1951 "Switzerland" "german" "Protestant or Reformed Church" "once a week" "top management" NA 1177.99536132812 1.04545223712921 "2435"
"26" 4131 "woman" 1941 "Switzerland" "french" NA NA "unqualified non-manual and manual workers" NA 1684.60827636719 1.49506318569183 "26"
"2514" 144321 "man" 1949 "Switzerland" "german" "Roman Catholic" "a few times a year" NA "unqualified non-manual and manual workers" 927.179809570312 0.822857439517975 "2514"
"2126" 120841 "woman" 1949 "Switzerland" "french" "Roman Catholic" "once a week" "academic professions and senior management" NA 572.034240722656 0.507671356201172 "2126"
"2225" 125971 "woman" 1954 "Switzerland" "french" "Jewish" "only for family ceremonies" "other self-employed" "other self-employed" 733.87060546875 0.651298582553864 "2225"
"1564" 89211 "woman" 1951 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "other self-employed" "other self-employed" 895.19091796875 0.794467747211456 "1564"
"2558" 146631 "man" 1956 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "qualified non-manual professions" NA 628.703674316406 0.557964563369751 "2558"
"1521" 86581 "man" 1947 "Switzerland" NA NA NA NA NA 1768.96105957031 1.56992495059967 "1521"
"2494" 143481 "man" 1955 "Switzerland" "german" "no denomination or religion" "only for family ceremonies" "academic professions and senior management" "qualified non-manual professions" 785.581909179688 0.697191476821899 "2494"
"396" 23931 "man" 1946 "Switzerland" "german" "no denomination or religion" "religious celebrations and family events" "unqualified non-manual and manual workers" NA 1630.85974121094 1.44736218452454 "396"
"599" 33491 "woman" 1949 "Itally" "italian" "Roman Catholic" "a few times a year" "unqualified non-manual and manual workers" "unqualified non-manual and manual workers" 2242.15942382812 1.98988103866577 "599"
"17" 3541 "man" 1928 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 828.819458007812 0.735564172267914 "17"
"2125" 120841 "man" 1946 "Switzerland" "french" "Roman Catholic" "every two weeks" "unqualified non-manual and manual workers" NA 720.192626953125 0.639159560203552 "2125"
"356" NA "man" 1952 NA NA NA NA "academic professions and senior management" NA 1407.31140136719 1.24896657466888 "356"
"382" 22661 "woman" 1956 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "intermediate professions" NA 548.013793945312 0.486353546380997 "382"
"908" 51531 "woman" 1938 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "other self-employed" NA 1427.76916503906 1.26712250709534 "908"
"637" 36041 "woman" 1933 "Switzerland" NA NA NA NA NA 1871.57800292969 1.66099584102631 "637"
"2431" 140071 "man" 1941 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "qualified manual professions" NA 929.051635742188 0.824518620967865 "2431"
"746" 42541 "woman" 1940 "Switzerland" "german" "Christian Catholic" "only for family ceremonies" "qualified non-manual professions" NA 1195.40209960938 1.06090044975281 "746"
"2034" NA "woman" 1913 NA NA NA NA "intermediate professions" NA 1671.13745117188 1.48310816287994 "2034"
"1085" 60931 "woman" 1940 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 1297.48608398438 1.1514984369278 "1085"
"2437" 140441 "man" 1950 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 1741.60180664062 1.54564416408539 "2437"
"108" 8751 "man" 1940 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" "qualified manual professions" 847.1279296875 0.751812636852264 "108"
"1318" 74821 "woman" 1941 "Switzerland" "german" "Roman Catholic" "religious celebrations and family events" "other self-employed" NA 1018.24261474609 0.903674185276031 "1318"
"476" 26901 "man" 1934 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" "qualified manual professions" "unqualified non-manual and manual workers" 955.826477050781 0.848280906677246 "476"
"2176" 123401 "woman" 1947 "Switzerland" "french" "Protestant or Reformed Church" "religious celebrations and family events" "unqualified non-manual and manual workers" "unqualified non-manual and manual workers" 790.095336914062 0.701197147369385 "2176"
"1785" 102081 "woman" 1956 "Switzerland" "german" "Roman Catholic" "once a week" "unqualified non-manual and manual workers" NA 0 0 "1785"
"1197" 68131 "man" 1953 "Switzerland" "german" "Protestant or Reformed Church" "a few times a year" "unqualified non-manual and manual workers" "unqualified non-manual and manual workers" 653.416198730469 0.579896569252014 "1197"
"296" 18111 "woman" 1957 "Switzerland" "french" "other" "a few times a year" "other self-employed" NA 737.303649902344 0.654345333576202 "296"
"1202" 68581 "man" 1942 "Austria" NA NA NA NA NA 3960.25610351562 3.51466464996338 "1202"
"555" 31011 "woman" 1957 "Switzerland" "german" NA NA "unqualified non-manual and manual workers" "unqualified non-manual and manual workers" 983.954162597656 0.873243749141693 "555"
"1929" 109221 "man" 1950 "Switzerland" "german" "other Christian denomination" "once a week" "intermediate professions" NA 670.28564453125 0.594867885112762 "1929"
"1852" NA "woman" 1951 NA NA NA NA "unqualified non-manual and manual workers" NA 2480.81616210938 2.20168519020081 "1852"
"2166" NA "woman" 1946 NA NA NA NA "other self-employed" NA 830.121948242188 0.736720085144043 "2166"
"542" 30221 "man" 1955 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "unqualified non-manual and manual workers" NA 937.682739257812 0.832178592681885 "542"
"2224" 125921 "woman" 1957 "Switzerland" "french" "Roman Catholic" "every two weeks" "other self-employed" NA 887.224304199219 0.787397563457489 "2224"
"1730" 99401 "man" 1925 "Switzerland" "german" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 1330.30798339844 1.18062734603882 "1730"
"2071" 117191 "woman" 1953 "Switzerland" "french" "Roman Catholic" "only for family ceremonies" NA "other self-employed" 736.8828125 0.65397185087204 "2071"
"2578" 147691 "man" 1935 "Switzerland" "german" "Roman Catholic" "religious celebrations and family events" NA NA 993.553405761719 0.88176292181015 "2578"
"2509" 144111 "man" 1951 "Switzerland" "german" "Roman Catholic" "about once a month" "unqualified non-manual and manual workers" NA 753.968139648438 0.669134795665741 "2509"
"2271" 129311 "woman" 1935 "Switzerland" "german" NA NA "qualified non-manual professions" NA 998.590454101562 0.886233270168304 "2271"
"617" 34431 "woman" 1947 "Switzerland" "german" "Protestant or Reformed Church" "religious celebrations and family events" "qualified manual professions" NA 748.38720703125 0.66418182849884 "617"
"520" 28851 "woman" 1953 "Switzerland" "german" "Protestant or Reformed Church" "about once a month" "academic professions and senior management" NA 1148.99523925781 1.01971507072449 "520"
"2529" 144991 "man" 1950 "Switzerland" "german" "Roman Catholic" "about once a month" "academic professions and senior management" NA 849.163818359375 0.753619492053986 "2529"
"2492" 143361 "woman" 1946 "Switzerland" "german" "Roman Catholic" "about once a month" "other self-employed" NA 796.945068359375 0.707276165485382 "2492"
"2183" 123561 "man" 1942 "Switzerland" "french" "Protestant or Reformed Church" "only for family ceremonies" "other self-employed" NA 950.22998046875 0.843314111232758 "2183"
"1508" 85951 "man" 1950 "Switzerland" NA NA NA "unqualified non-manual and manual workers" NA 2097.32299804688 1.86134099960327 "1508"
"1605" 91911 "woman" 1946 "Switzerland" NA NA NA NA NA 1829.77319335938 1.62389481067657 "1605"
"1449" 82761 "man" 1949 "Switzerland" "german" "Roman Catholic" "only for family ceremonies" "qualified manual professions" NA 737.836364746094 0.654818117618561 "1449"
